Marsupiomonas_sp._NIES_1824	Chlorophyta	Pedinophyceae	-	Marsupiomonadales	Marsupiomonadaceae	KM462870	OUT
Plocamium_cartilagineum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Plocamiales	Plocamiaceae	KX284727	IN
Porphyridium_sordidum	Rhodophyta	Porphyridiophyceae	-	Porphyridiales	Porphyridiaceae	KX284720	IN
Pyropia_haitanensis	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	NC_021189	IN
Pyropia_perforate	Rhodophyta	Bangiophyceae	-	Bangiales	Bangiaceae	NC_024050	IN
Rhodymenia_pseudopalmata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Rhodymeniales	Rhodymeniaceae	KX284709	IN
Riquetophycus_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Peyssonneliales	Peyssonneliaceae	KX284710	IN
Schimmelmannia_schousboei	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Acrosymphytales	Schimmelmanniaceae	KX284711	IN
Schizymenia_dubyi	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Nemastomatales	Schizymeniaceae	KX284712	IN
Sebdenia_flabellate	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Nemastomatales	Schizymeniaceae	KX284713	IN
Bostrychia_moritziana	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101419	IN
Bostrychia_simpliciuscula	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101421	IN
Bostrychia_tenella	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101417	IN
Bryothamnion_seaforthii	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101430	IN
Chondria_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101429	IN
Chondria_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101451	IN
Chondria_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101431	IN
Choreocolax_polysiphonieae	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	KP308096	IN
Cliftonaea_pectinata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101450	IN
Dasyclonium_flaccidum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101443	IN
Dictyomenia_sonderi	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101455	IN
Digenea_simplex	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101465	IN
Dipterosiphonia_australica	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101444	IN
Gredgaria_maugeana	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101446	IN
Herposiphonia_versicolor	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101434	IN
Kuetzingia_canaliculata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101449	IN
Laurencieae_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101412	IN
Laurenciella_marilzae	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101410	IN
Lophocladia_kuetzingii	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101448	IN
Melanothamnus_harveyi	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101437	IN
Ophidocladus_simpliciusculus	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101440	IN
Osmundaria_fimbriata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101415	IN
Palisada_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101453	IN
Periphykon_beckeri	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101413	IN
Polysiphonia_brodiei	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101425	IN
Polysiphonia_elongata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101427	IN
Polysiphonia_infestans	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101432	IN
Polysiphonia_schneideri	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101454	IN
Polysiphonia_scopulorum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101438	IN
Polysiphonia_sertularioides	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101423	IN
Polysiphonia_sertularioides	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101435	IN
Polysiphonia_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101414	IN
Polysiphonia_sp.	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101456	IN
Polysiphonia_stricta	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101428	IN
Rhodomela_confervoides	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101424	IN
Sonderella_linearis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101445	IN
Symphyocladia_dendroidea	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101420	IN
Thaumatella_adunca	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101447	IN
Tolypiocladia_glomerulata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101467	IN
Vertebrata_australis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101439	IN
Vertebrata_isogona	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101433	IN
Vertebrata_lanosa	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	KP308097	IN
Vertebrata_thuyoides	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101426	IN
Acrosorium_ciliolatum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101411	IN
Caloglossa_beccarii	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101422	IN
Caloglossa_intermedia	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101418	IN
Caloglossa_monosticha	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101416	IN
Ceramium_cimbricum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Ceramiaceae	KR025491	IN
Dasya_naccarioides	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101436	IN
Dipterocladia_arabiensis	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101408	IN
Platysiphonia_delicata	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101409	IN
Spyridia_filamentosa	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101441	IN
Taenioma_perpusillum	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101452	IN
Thuretia_quercifolia	Rhodophyta	Florideophyceae	Rhodymeniophycidae	Ceramiales	Rhodomelaceae	MF101442	IN
Batrachospermum_viride_brasiliense	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	MG252484	IN
Batrachospermum_macrosporum	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	MG252483	IN
Kumanoa_ambigua	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	MG252485	IN
Kumanoa_mahlacensis	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	MG252486	IN
Paralemanea_sp.	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Lemaneaceae	MG252487	IN
Sirodotia_delicatula	Rhodophyta	Florideophyceae	Nemaliophycidae	Batrachospermales	Batrachospermaceae	MG252489	IN
Corynoplastis_japonica	Rhodophyta	Rhodellophyceae	-	Rhodellales	Rhodellaceae	KY709210	IN
Galdieria_partita	Rhodophyta	Cyanidiophyceae	-	Cyanidiales	Galdieriaceae	GPAL	IN
